id,mag_j,merr_j,type,per,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,resid_m4_j,resid_m4_h,resid_m4_k,resid_m4_3,resid_m4_4
97.0,13.3024221452,0.0104841149682,0.0,0.691898,13.1431242523,0.0289956893348,13.0343052556,0.0222523407008,12.9636556853,0.0607062599737,12.7019880717,0.0640019530952,0.0731832337537,-0.0327845252868,0.00821042857858,0.0324209461074,0.231130821712
101.0,13.7081729229,0.0164924225025,1.0,0.340946,13.4842887219,0.0302998899888,13.4358661321,0.022721135535,,,,,-0.015345231097,0.0284510050133,0.0241133423858,,
102.0,13.3200687797,0.0118918739762,0.0,0.691396,13.0333040438,0.0220170388563,12.9933544636,0.020045780936,12.9838444952,0.0492798133113,13.0557858638,0.0717553714598,0.0561610353866,0.0777414441933,0.0498780139992,0.0129791900363,-0.121924644748
103.0,13.6203420123,0.0175499287748,1.0,0.328852,13.4090814115,0.0400052079943,13.3765590742,0.0335459883344,12.9596759877,0.0709042781972,13.0241558143,0.0662388355373,0.111086740531,0.145945377799,0.126021164914,0.468964441831,0.396606818972
104.0,13.7320768645,0.0960620459217,0.0,0.866524,13.6258245519,0.153538675909,13.4523821304,0.140719875403,,,,,-0.550091494814,-0.734321372464,-0.632123842018,,
105.0,13.7676384652,0.0143003496461,1.0,0.335328,13.6152040357,0.0200790105998,13.5330163158,0.0179606050381,,,,,-0.057052736447,-0.0830105633104,-0.0534387802186,,
107.0,13.5966128567,0.0170880074906,0.0,0.514102,13.3396573977,0.0378230529351,13.3007444591,0.0300430247035,13.5351314554,0.218683942407,13.350743842,0.0764095325641,0.0345272230729,0.0594971678463,0.0351008109761,-0.233341931039,-0.113846947362
115.0,13.4012904127,0.0120830459736,0.0,0.630474,13.1763029654,0.0172167554047,13.1025571983,0.0128062484749,,,,,0.0542976307622,0.0244361487079,0.0317709942544,,
117.0,13.4797974552,0.0198095095009,1.0,0.421641,13.2736600869,0.042547032799,13.202028597,0.0308193662059,13.1104883119,0.0441682389657,12.9492859927,0.0431277173057,-0.0140148188084,-0.00964586563041,0.0073802271415,0.0312413587951,0.149916388288
120.0,13.5252675015,0.0492417505781,0.0,0.548537,13.0717368472,0.0789134547041,13.1352522404,0.0936825312781,12.9584402696,0.0659153497551,12.9267003674,0.0552720544217,0.0500942871144,0.264375015719,0.136564844873,0.276618033133,0.243887655114
121.0,13.740916497,0.0158298241725,1.0,0.304182,13.6482665233,0.0326151805146,13.5310839676,0.0263328059019,13.4143206096,0.0370090079125,13.3015920024,0.0330756708171,0.0738588848031,-0.00193436556981,0.0634789794744,0.104338243258,0.220060353631
122.0,13.3690589088,0.0177364972115,0.0,0.634929,13.1321655752,0.0420158700176,13.0619949145,0.0241212216385,13.0570406973,0.0515363949069,13.0190091435,0.0426829396051,0.0804712719687,0.0617267168126,0.0653794265829,0.0274770145222,0.00199107665334
122.0,13.3690589088,0.0177364972115,0.0,0.634929,13.1321655752,0.0420158700176,13.0619949145,0.0241212216385,13.0570406973,0.0515363949069,12.9555668845,0.104647025758,0.0804712719687,0.0617267168126,0.0653794265829,0.0274770145222,0.0654333356533
123.0,13.4624739895,0.0155509913939,1.0,0.474169,13.2385798553,0.0185202591775,13.1741583613,0.0171925371407,,,,,-0.122178537511,-0.11203554429,-0.103239253874,,
124.0,13.7079277084,0.0132633580464,1.0,0.33186,13.5096669844,0.0180369990113,13.4818955822,0.0233309522595,,,,,0.0137692134309,0.0346986848762,0.00994444846452,,
125.0,13.419984966,0.0154434452115,0.0,0.592888,13.199799277,0.0157718102956,13.1530134846,0.0150499169433,,,,,0.0884849238337,0.0607088699326,0.0420180490189,,
126.0,13.6421439324,0.0109087121146,1.0,0.341891,13.4673031346,0.0168102151483,13.3702307,0.0157162336455,,,,,0.0477254679361,0.0421958146641,0.0864839554594,,
127.0,,,1.0,0.305274,,,13.5787426869,0.0175047612571,,,13.5733022603,0.0625279937308,,,0.0115933324813,,-0.0562861404981
128.0,13.2065586253,0.0177834192438,0.0,0.834988,12.9265753522,0.0315885000171,12.8100505444,0.0196341539161,,,12.4452145563,0.0737659587253,0.0073215609777,0.000976537154664,0.0468199665604,,0.295646473027
130.0,13.6875834895,0.0207364413533,0.0,0.49325,13.5269115289,0.0321221626503,13.4184295401,0.0248109518829,,,,,-0.0208206725719,-0.0874948187345,-0.0416927484232,,
147.0,13.3972846713,0.0124432043033,1.0,0.422699,12.9336079872,0.0409074157906,13.0825668008,0.0224220873248,,,12.5853036472,0.0962345225651,0.0658194478176,0.32747194615,0.123885967707,,0.510656432707
149.0,13.3536327777,0.015212385305,0.0,0.682728,13.0606067058,0.0345687720349,13.0240325151,0.0240554914036,,,,,0.0334512299145,0.0627065949494,0.0316595454414,,
150.0,13.0677963128,0.0193239919961,0.0,0.899302,12.7565588222,0.0248042335096,12.6919327627,0.0179606050381,,,,,0.0822455042931,0.0988405640732,0.0916573587977,,
151.0,13.5006609815,0.0132884661769,0.0,0.407784,13.3013157489,0.0204552356786,13.2649892605,0.0162429471874,,,,,0.329805558744,0.323125007962,0.299663869804,,
163.0,13.7631144892,0.0185337529929,1.0,0.313229,13.5570855314,0.0158561239484,13.5447665605,0.0249949994999,,,,,0.0203361699718,0.0549307172631,0.015225908449,,
168.0,14.1759011515,0.0149499163877,1.0,0.321299,13.9995826797,0.020182500671,13.9602788687,0.0178629038326,,,,,-0.419638168077,-0.417350248111,-0.430291165023,,
169.0,13.8051136267,0.0127801930085,1.0,0.319116,13.7354989363,0.0194229245996,13.6523095462,0.0251810113644,13.7344054587,0.0497903939865,14.0014406532,0.11563123857,-0.0415641286188,-0.145284203403,-0.11428032533,-0.27107305807,-0.541796386404
184.0,13.7784952112,0.0119408263254,1.0,0.30337,13.6236462435,0.0275680975042,13.5364943705,0.0194507926145,,,,,0.0391370950388,0.025815645347,0.061221525281,,
