id,mag_j,merr_j,type,per,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,mag_v,merr_v,mag_b,merr_b
112.0,13.667,0.116,0.0,0.47435900000000003,13.41,0.061,13.425,0.113,,,,,14.527,0.288,14.892,0.386
113.0,13.518,0.137,0.0,0.573375,13.308,0.162,13.246,0.115,,,,,14.613,0.339,15.114,0.492
114.0,12.576,0.127,0.0,0.675307,12.378,0.190,12.017,0.126,13.196,0.343,11.979,0.033,14.495,0.256,14.986,0.362
115.0,13.414,0.063,0.0,0.630474,13.176,0.068,13.129,0.103,14.389,0.083,16.436,0.074,14.575,0.295,15.075,0.417
116.0,12.783,0.102,0.0,0.720133,12.326,0.184,12.117,0.112,,,,,14.41,0.207,14.897,0.294
117.0,13.501,0.054,1.0,0.421641,13.274,0.032,13.221,0.041,13.102,0.022,12.951,0.032,,,14.906,0.215
118.0,13.334,0.107,0.0,0.611618,13.062,0.120,12.968,0.075,12.918,0.074,12.98,0.104,14.494,0.298,14.954,0.427
119.0,13.858,0.045,1.0,0.30587600000000004,13.774,0.053,13.643,0.030,14.185,0.059,13.381,0.021,14.692,0.109,15.0,0.149
120.0,13.521,0.126,0.0,0.5485369999999999,13.097,0.111,13.159,0.058,12.95,0.069,12.915,0.069,14.798,0.280,15.278,0.415
121.0,13.739,0.043,1.0,0.304182,13.613,0.026,13.539,0.033,13.414,0.018,13.302,0.021,14.593,0.099,14.907,0.131
122.0,13.372,0.105,0.0,0.634929,13.138,0.071,13.128,0.108,13.044,0.084,12.994,0.091,,,15.072,0.437
123.0,13.442,0.045,1.0,0.47416899999999995,13.19,0.050,13.171,0.020,,,,,14.46,0.127,14.899,0.193
124.0,13.675,0.078,1.0,0.33186,13.456,0.105,13.455,0.055,,,,,14.576,0.184,14.946,0.269
125.0,13.473,0.163,0.0,0.592888,13.193,0.083,13.165,0.114,,,,,,,,
126.0,13.641,0.056,1.0,0.341891,13.46,0.043,13.379,0.030,,,,,,,,
127.0,,,1.0,0.305274,,,13.559,0.018,,,,,,,,
128.0,13.225,0.099,0.0,0.834988,12.963,0.107,12.831,0.088,11.675,0.110,12.459,0.145,14.406,0.179,14.928,0.265
130.0,13.752,0.189,0.0,0.49325,13.6,0.216,13.392,0.093,,,,,,,,
131.0,13.545,0.049,1.0,0.392252,13.366,0.055,13.252,0.056,13.305,0.033,13.331,0.036,,,14.891,0.208
132.0,13.29,0.100,0.0,0.655656,13.142,0.123,13.057,0.104,,,,,14.479,0.267,14.926,0.368
135.0,12.713,1.187,0.0,0.632579,,,10.55,1.184,11.439,0.378,9.714,0.201,,,14.939,0.411
136.0,13.515,0.055,1.0,0.391945,12.973,0.095,13.217,0.075,,,,,14.387,0.147,14.754,0.208
137.0,13.76,0.058,1.0,0.33420500000000003,13.69,0.066,13.473,0.064,,,,,14.562,0.173,14.933,0.258
139.0,13.142,0.062,0.0,0.676871,12.898,0.070,12.759,0.080,,,,,14.384,0.240,,
140.0,13.03,0.113,0.0,0.619849,12.493,0.283,12.733,0.083,12.826,0.121,11.916,0.051,,,,
141.0,13.346,0.102,0.0,0.6973630000000001,13.002,0.215,12.955,0.081,,,,,14.515,0.242,14.991,0.328
142.0,13.184,0.080,1.0,0.375848,12.619,0.058,12.594,0.162,,,,,14.586,0.134,15.066,0.186
143.0,13.144,0.163,0.0,0.820734,11.943,0.184,12.147,0.127,,,,,14.417,0.185,,
144.0,13.181,0.027,0.0,0.8353200000000001,12.963,0.045,12.84,0.061,,,,,14.41,0.141,14.959,0.219
145.0,13.483,0.085,1.0,0.373214,13.131,0.066,13.19,0.075,,,,,,,14.947,0.200
146.0,13.492,0.121,0.0,0.633092,13.215,0.695,13.119,0.161,,,,,14.515,0.298,15.081,0.458
147.0,13.417,0.052,1.0,0.422699,13.099,0.105,13.095,0.039,11.397,0.012,12.59,0.050,,,14.833,0.166
149.0,13.331,0.123,0.0,0.682728,13.0,0.130,12.992,0.094,,,,,,,,
150.0,13.105,0.086,0.0,0.899302,12.796,0.079,12.758,0.137,,,,,14.311,0.251,14.788,0.308
151.0,13.499,0.039,0.0,0.40778400000000004,13.283,0.041,13.236,0.035,,,,,,,,
153.0,13.671,0.079,1.0,0.386245,13.611,0.111,13.412,0.038,,,,,14.589,0.155,15.023,0.204
154.0,13.629,0.034,1.0,0.32234,13.46,0.084,13.414,0.056,,,,,14.538,0.049,14.858,0.066
155.0,13.308,0.044,1.0,0.413925,12.902,0.134,13.012,0.078,,,,,14.525,0.146,14.958,0.201
156.0,13.469,0.069,1.0,0.359067,13.152,0.060,13.217,0.033,,,,,,,14.947,0.184
157.0,13.611,0.083,1.0,0.4064,13.668,0.171,13.428,0.073,,,,,14.589,0.149,15.01,0.208
158.0,13.663,0.085,1.0,0.36727600000000005,13.398,0.140,13.45,0.045,13.027,0.028,12.984,0.047,,,14.899,0.174
163.0,13.743,0.041,1.0,0.313229,13.52,0.035,13.527,0.038,,,,,14.557,0.078,14.88,0.111
165.0,13.678,0.141,0.0,0.500765,13.507,0.113,13.388,0.144,,,,,14.684,0.315,15.201,0.484
166.0,13.565,0.023,1.0,0.340173,13.293,0.115,13.346,0.062,,,,,14.499,0.064,14.938,0.100
