id,ra,dec,per,mag_v,mag_b,type,mag_j,merr_j,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,resid_j,resid_h,resid_k,resid_3,resid_4,photfeh,photfeh_err,per_old,per_new,feh_s,feh_s_err,feh_r,feh_r_err,feh_rs,feh_rs_err,feh_b,feh_comb,feh_comb_err,clip_j,clip_h,clip_k,clip_3,clip_4
38,13:27:03.30,-47:36:30.2,0.779061,14.478,15.025,0,13.2352333721,0.00430680985314,12.9944832078,0.00561496017597,12.8185067539,0.00521149903792,,,,,-0.0352097130383,-0.0881060578327,0.00419817794085,,,-1.75,0.18,0.7791,0.779059,-1.64,0.4,-1.75,0.18,-1.91,0.16,-1.5,-1.79,0.26,False,False,False,True,True
39,13:27:59.77,-47:34:42.3,0.393374,14.565,14.928,1,13.5654105265,0.00257795138304,13.4349650084,0.00408078151557,13.3116711368,0.00395196856713,,,,,-0.1007317228,-0.183980117792,-0.136049576117,,,-1.96,0.29,0.3934,0.393386,,,-1.96,0.29,-2.19,0.29,-1.37,-1.72,0.57,False,False,False,True,True
40,13:26:24.56,-47:30:46.2,0.634072,14.519,14.975,0,13.5440468827,0.00637322960167,13.277085654,0.0147287983217,13.1688931345,0.0095630219538,13.1400832659,0.0172254035102,,,-0.166856671706,-0.170468266892,-0.142817814424,-0.0038936170615,,-1.6,0.08,0.6341,0.634098,-1.62,0.19,-1.6,0.08,-1.77,0.08,-1.72,-1.77,0.02,False,False,False,False,True
41,13:27:01.41,-47:31:01.7,0.662942,14.537,15.028,0,13.1133715383,0.0202844357411,12.5550225539,0.0215546785331,12.5239845013,0.0305179819487,,,12.3965453564,0.0105028042007,0.22551215776,0.508299382962,0.45811857498,,0.677844221262,-1.89,0.48,0.6629,0.662934,,,-1.89,0.48,-2.11,0.48,-1.97,-2.0,0.08,True,True,True,True,True
44,13:26:22.39,-47:34:35.3,0.567545,14.732,15.248,0,13.6961249858,0.00395986812351,13.4496200029,0.00662015021649,13.382033476,0.0053183382952,,,,,-0.22357285472,-0.235221021106,-0.246491721661,,,-1.4,0.12,0.5675,0.567536,-1.29,0.35,-1.4,0.12,-1.54,0.11,-0.9,-1.44,0.33,True,False,True,True,True
45,13:25:30.88,-47:27:21.0,0.589116,14.531,15.006,0,13.5397334566,0.00423936578066,13.2273252698,0.00436367582053,13.1879520503,0.00410791918129,,,13.2074500799,0.0124644037128,-0.0992745479114,-0.0491992435507,-0.089250269569,,-0.0123085457819,-1.78,0.25,0.5891,0.589135,,,-1.78,0.25,-1.99,0.25,-1.97,-1.98,0.02,False,False,False,True,False
46,13:25:30.23,-47:25:51.8,0.686971,14.501,14.985,0,13.3145024208,0.00469929072662,13.0165794597,0.00477333449721,12.9695733981,0.00410876434521,,,,,-0.00625066990314,0.0121211115792,-0.0226328878477,,,-1.88,0.17,0.687,0.686962,,,-1.88,0.17,-2.1,0.17,,-2.1,0.17,False,False,False,True,True
47,13:25:56.46,-47:24:12.0,0.485303,14.344,14.756,1,13.4258972498,0.00567217869175,13.2443344198,0.00515388203202,13.1564286225,0.00512008571977,,,13.3744430074,0.0132162491299,-0.185679670724,-0.239244474981,-0.228526154088,,-0.458261202299,-1.58,0.31,0.4853,0.485295,,,-1.58,0.31,-1.77,0.31,-1.16,-1.4,0.42,False,False,False,True,False
49,13:26:07.78,-47:37:55.5,0.604627,14.609,15.111,0,13.5905778852,0.003338537604,13.2759568285,0.00558395518925,13.2447186981,0.00464877522699,,,13.2267237856,0.0080355729864,-0.172477966697,-0.123101765918,-0.171682916199,,-0.0581624745442,-1.98,0.11,0.6046,0.604645,,,-1.98,0.11,-2.21,0.11,-1.35,-2.07,0.45,False,False,False,True,False
50,13:25:53.94,-47:27:35.8,0.386172,14.633,15.005,1,13.6555953014,0.00413571839789,13.414447239,0.0043461349368,13.3735039586,0.00412310562562,,,13.5120726022,0.0103774823887,-0.171167291378,-0.141827297501,-0.176086849616,,-0.300278089343,-1.59,0.19,0.3862,0.386166,,,-1.59,0.19,-1.78,0.19,-1.44,-1.65,0.23,False,False,False,True,False
51,13:26:42.66,-47:24:21.4,0.574152,14.564,15.006,0,13.6224385902,0.00416749991668,13.4138336979,0.00943618920257,13.2930016052,0.00824199948772,13.4173886266,0.0207950521248,,,-0.159844114172,-0.210689228807,-0.168890293863,-0.179024263915,,-1.64,0.21,0.5742,0.574142,-1.84,0.23,-1.64,0.21,-1.85,0.02,-1.75,-1.85,0.01,False,False,False,False,True
52,13:26:35.19,-47:28:03.8,0.660386,13.765,14.141,0,12.9261617169,0.00707793912253,12.6808011768,0.0161928482156,12.6300273983,0.0136763177305,13.0694625954,0.0392887263737,,,0.416045456104,0.386277077517,0.355890714109,0.0248745546828,,-1.42,0.04,0.6604,0.660387,,,-1.42,0.04,-1.59,0.04,-2.4,-1.61,0.18,True,True,True,False,True
54,13:26:23.54,-47:18:47.7,0.772915,14.419,14.935,0,13.2935072004,0.00462180820795,13.0259101531,0.00480523441445,12.9679058696,0.00433253197719,12.9062453391,0.0135083987548,,,-0.086669439691,-0.111831451599,-0.137378995737,0.0261405201498,,-1.66,0.12,0.7729,0.772909,-1.8,0.23,-1.66,0.12,-1.85,0.02,-1.75,-1.85,0.01,False,False,False,False,True
55,13:25:45.00,-47:42:18.0,0.581724,14.7,15.07,0,,,,,,,,,,,,,,,,-1.23,0.31,0.5817,0.581921,,,-1.23,0.31,-1.38,0.31,,-1.38,0.31,True,True,True,True,True
56,13:25:55.53,-47:37:44.1,0.568023,14.762,15.229,0,13.6899283387,0.00272972322569,13.4622717969,0.00624722160466,13.3825578908,0.00496445700287,,,13.3854744428,0.014631135647,-0.218100499404,-0.248691436663,-0.247847554693,,-0.153041726663,-1.26,0.15,0.568,0.568036,,,-1.26,0.15,-1.42,0.15,-0.52,-1.18,0.56,True,False,True,True,False
57,13:27:49.38,-47:36:50.5,0.794402,14.471,14.986,0,13.2561948315,0.00428093317968,13.0910807941,0.00524801549794,12.8965378662,0.00414661843487,,,,,-0.0729479937647,-0.203665432598,-0.0930911330952,,,-1.89,0.14,0.7944,0.794422,,,-1.89,0.14,-2.11,0.14,-2.04,-2.09,0.04,False,False,False,True,True
58,13:26:13.05,-47:24:03.0,0.36988,14.474,14.789,1,13.6757352679,0.00498330546258,13.517283434,0.0051706973525,13.426040898,0.00594535299391,,,13.5750662228,0.0135128334179,-0.14523750416,-0.194194554662,-0.177780452528,,-0.307505031225,-1.37,0.18,0.3699,0.369922,-1.91,0.31,-1.37,0.18,-1.64,0.24,-1.78,-1.71,0.1,False,False,False,True,False
59,13:26:18.43,-47:29:46.7,0.518506,14.741,15.253,0,13.7397258811,0.00658280588604,13.4325870184,0.012401276816,13.4081054536,0.00955721077395,,,13.4278362995,0.0215487657059,-0.189426402488,-0.130315088033,-0.183317122639,,-0.102117005579,-1.0,0.28,0.5185,0.518551,,,-1.0,0.28,-1.13,0.28,-1.54,-1.36,0.29,False,False,False,True,False
62,13:26:26.59,-47:27:55.4,0.61977,14.474,14.894,0,13.4730623559,0.00794162731715,13.1052532886,0.0207201927812,13.097957265,0.0145408906192,13.0872795169,0.0135015219176,,,-0.0762443469334,0.0235481669892,-0.0493510955602,0.0723921517241,,-1.62,0.29,0.6198,0.619796,,,-1.62,0.29,-1.81,0.29,-2.13,-1.99,0.22,False,False,False,False,True
63,13:25:07.96,-47:36:54.1,0.825943,14.48,14.9,0,13.2366616414,0.00503598164325,12.8755582445,0.0049117206761,12.8806138546,0.00345607355889,,,,,-0.0869130143268,-0.0260038086277,-0.115619888303,,,-1.73,0.09,0.8259,0.82596,,,-1.73,0.09,-1.94,0.09,-1.32,-1.87,0.28,False,False,False,True,True
64,13:26:02.22,-47:36:19.2,0.344497,14.555,14.898,1,13.6465558534,0.00378410417991,13.4607673947,0.00633388155522,13.4191883182,0.00622941053034,,,13.4289958286,0.0117134030047,-0.040073718732,-0.0544384243328,-0.0870702736049,,-0.06945680647,-1.46,0.23,0.3445,0.344474,,,-1.46,0.23,-1.64,0.23,-1.66,-1.65,0.01,False,False,False,True,False
66,13:26:33.08,-47:22:25.2,0.407266,14.488,14.869,1,13.5481657685,0.00303223423311,13.3819841402,0.00627550352119,13.2743322149,0.00568868272196,13.2742549746,0.00704359328852,,,-0.120580395342,-0.171634718403,-0.139647573093,-0.0497530380447,,-1.68,0.34,0.4073,0.407273,,,-1.68,0.34,-1.88,0.34,-1.61,-1.7,0.18,False,False,False,False,True
67,13:26:28.62,-47:18:46.9,0.564451,14.681,15.118,0,13.6566269688,0.00415581921326,13.4224127335,0.00448454134902,13.3555515925,0.00446047456369,13.4414690008,0.0163970123629,,,-0.179371834446,-0.2026982422,-0.214611236724,-0.185565132697,,-1.1,0.0,0.5645,0.564449,-1.19,0.23,-1.1,0.5,-1.22,0.02,-0.94,-1.22,0.03,False,False,False,False,True
68,13:26:12.80,-47:19:35.7,0.534609,14.242,14.671,1,13.2712173376,0.0060005786758,13.024311165,0.00441823871394,12.9770588648,0.00420317340431,13.0681165994,0.0126393585515,,,-0.1344190745,-0.132516009239,-0.16329165124,-0.15767892068,,-1.6,0.01,0.5346,0.534762,,,-1.6,0.01,-1.79,0.01,-1.57,-1.79,0.01,False,False,False,False,True
69,13:25:11.02,-47:37:33.5,0.635221,14.49,14.85,0,,,,,13.1282226622,0.00393347457374,,,,,,,-0.10393532366,,,-1.52,0.14,0.6532,0.653221,,,-1.52,0.14,-1.7,0.14,-1.75,-1.71,0.03,True,True,False,True,True
70,13:27:27.76,-47:33:42.7,0.390687,14.558,14.932,1,13.5352991166,0.00377951349015,13.292653057,0.00849305271645,13.2599804372,0.00643341968854,,,,,-0.063294675217,-0.0336430062169,-0.0762741825123,,,-1.94,0.15,0.3907,0.390591,-1.74,0.3,-1.94,0.15,-2.09,0.23,-1.57,-1.85,0.36,False,False,False,True,True
71,13:27:08.08,-47:27:51.6,0.357544,14.532,14.902,1,13.5970829206,0.00597506392341,13.3049443283,0.0181100033744,13.3393079383,0.0102628645557,,,13.1352597684,0.00889847247966,-0.0303312934847,0.0578602827165,-0.0510371340597,,0.176186128172,,,0.3575,0.357649,-1.74,0.28,,,-1.76,0.28,-2.01,-1.9,0.17,False,False,False,True,False
72,13:27:33.11,-47:16:22.9,0.384522,14.48,14.75,1,13.5610513822,0.00282228237031,13.3582784017,0.00481750281093,13.3206042487,0.00415832498329,,,,,-0.0720469239835,-0.0806450086239,-0.118136496361,,,-1.32,0.22,0.3845,0.384504,,,-1.32,0.22,-1.48,0.22,-1.54,-1.51,0.04,False,False,False,True,True
73,13:25:53.75,-47:16:10.8,0.575215,14.49,14.78,0,13.5084516053,0.00507786591219,13.2837114327,0.00502631961667,13.2266955691,0.00450154294536,,,,,-0.0474485076283,-0.0823655987106,-0.104411009092,,,-1.5,0.09,0.5752,0.575204,,,-1.5,0.09,-1.68,0.09,-0.95,-1.6,0.33,False,False,False,True,True
74,13:27:07.22,-47:17:33.9,0.503209,14.626,14.941,0,13.6796992899,0.00219374109685,13.4902024627,0.00452999264164,13.4459975722,0.00436288003757,,,,,-0.103636140974,-0.158811472346,-0.191634992731,,,-1.83,0.36,0.5032,0.503214,,,-1.83,0.36,-2.05,0.36,-2.18,-2.14,0.09,False,False,False,True,True
75,13:27:19.70,-47:18:46.5,0.422174,14.476,14.848,1,13.4181031047,0.00327129773773,13.193626727,0.00810135448209,13.1440682208,0.00726865416245,,,,,-0.028942132186,-0.0253708379686,-0.051789378322,,,-1.49,0.08,0.4222,0.422142,-1.82,0.99,-1.49,0.08,-1.67,0.02,-1.92,-1.67,0.03,False,False,False,True,True
76,13:26:57.23,-47:20:07.7,0.337962,14.517,14.856,1,13.6393600708,0.00340444970264,13.5223805922,0.00502908208987,13.4535805986,0.00563039864387,,,,,-0.0124083896032,-0.0936274457086,-0.0988720264257,,,-1.45,0.13,0.338,0.33796,,,-1.45,0.13,-1.63,0.13,-1.93,-1.69,0.17,False,False,False,True,True
77,13:27:20.89,-47:22:05.6,0.426294,14.569,14.948,1,13.4794012594,0.00382608009442,13.296747441,0.00817941182346,13.23340688,0.00607247890075,,,,,-0.100620137007,-0.139862570224,-0.152583410512,,,-1.81,0.0,0.4263,0.426041,-1.84,0.43,-1.81,0.5,-1.93,0.11,-1.48,-1.86,0.23,False,False,False,True,True
79,13:28:24.99,-47:29:25.2,0.608276,14.6,99.999,0,13.4115017175,0.00302535581011,13.1992115986,0.00460072458061,13.148116156,0.00428822677676,,,,,0.00142156193199,-0.0522073663464,-0.0810226644812,,,-1.39,0.18,0.6083,0.608287,,,-1.39,0.18,-1.56,0.18,-2.37,-1.84,0.54,False,False,False,True,True
81,13:27:36.68,-47:24:48.3,0.389392,14.608,15.062,1,13.5478110784,0.00360843918244,13.335860941,0.00954594154602,13.2969391825,0.00723369814748,13.3067719178,0.0106285241291,,,-0.0722580333145,-0.0729634316301,-0.109316630512,-0.0304625566268,,-1.72,0.31,0.3894,0.389385,-1.99,0.43,-1.72,0.31,-1.95,0.06,-1.15,-1.91,0.26,False,False,False,False,True
82,13:27:35.61,-47:26:30.3,0.335758,14.563,14.948,1,13.5887334942,0.00459392715078,13.3511006671,0.00691917625155,13.3019155245,0.00518879669202,13.5334269219,0.0264443587082,,,0.0452111240691,0.0853131694958,0.0605105678239,-0.0860469384099,,-1.56,0.2,0.3358,0.335765,-1.71,0.56,-1.56,0.2,-1.75,0.01,-1.91,-1.75,0.01,False,False,True,False,True
83,13:27:08.42,-47:21:34.1,0.356612,14.585,14.913,1,13.6104312295,0.00284800124844,13.4772499202,0.00679971404628,13.3758709982,0.00643665717244,,,,,-0.040889957062,-0.111389281638,-0.0845214955865,,,-1.3,0.22,0.3566,0.35661,,,-1.3,0.22,-1.46,0.22,-1.73,-1.58,0.19,False,False,False,True,True
84,13:24:47.45,-47:29:56.5,0.579873,14.27,99.999,0,,,12.8849950208,0.00497633287561,12.8082969569,0.00453382350291,,,,,,0.308508301642,0.306022497588,,,-1.47,0.1,0.5799,0.579918,,,-1.47,0.1,-1.65,0.1,,-1.65,0.1,True,True,True,True,True
