id,type,per,mag_j,merr_j,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,resid_m4_j,resid_m4_h,resid_m4_k,resid_m4_3,resid_m4_4,photfeh,photfeh_err,spectfeh,spectfeh_err
114.0,,,,,,,,,,,,,,,,,,-1.32,0.3,-1.61,0.99
115.0,0.0,0.630474,13.4012904127,0.0120830459736,13.1763029654,0.0172167554047,13.1025571983,0.0128062484749,,,,,,,,,,-1.87,0.01,-1.64,0.32
116.0,,,,,,,,,,,,,,,,,,-1.27,0.44,-1.11,0.17
117.0,1.0,0.421641,13.4797974552,0.0198095095009,13.2736600869,0.042547032799,13.202028597,0.0308193662059,13.1104883119,0.0441682389657,12.9492859927,0.0431277173057,-0.00779385137895,0.00973592073625,0.0202289020157,0.0705752382682,0.17931570352,-1.68,0.25,,
118.0,,,,,,,,,,,,,,,,,,-1.62,0.23,-2.04,0.14
119.0,,,,,,,,,,,,,,,,,,-1.61,0.1,,
120.0,0.0,0.548537,13.5252675015,0.0492417505781,13.0717368472,0.0789134547041,13.1352522404,0.0936825312781,12.9584402696,0.0659153497551,12.9267003674,0.0552720544217,0.0565783778074,0.266017725584,0.147209974355,0.235772872275,0.253000884774,-1.39,0.06,-1.15,0.16
121.0,1.0,0.304182,13.740916497,0.0158298241725,13.6482665233,0.0326151805146,13.5310839676,0.0263328059019,13.4143206096,0.0370090079125,13.3015920024,0.0330756708171,0.0800798522326,0.0174474207968,0.0763276543486,0.143672122731,0.249459668863,-1.46,0.13,-1.83,0.4
122.0,0.0,0.634929,13.3690589088,0.0177364972115,13.1321655752,0.0420158700176,13.0619949145,0.0241212216385,13.0570406973,0.0515363949069,12.9868246938,0.0520890087901,0.0869553626617,0.0633694266767,0.0760245560649,-0.0133681463356,0.0432887559703,-2.02,0.18,-1.79,0.21
123.0,1.0,0.474169,13.4624739895,0.0155509913939,13.2385798553,0.0185202591775,13.1741583613,0.0171925371407,,,,,,,,,,-1.64,0.01,,
124.0,1.0,0.33186,13.7079277084,0.0132633580464,13.5096669844,0.0180369990113,13.4818955822,0.0233309522595,,,,,,,,,,-1.33,0.23,,
125.0,0.0,0.592888,13.419984966,0.0154434452115,13.199799277,0.0157718102956,13.1530134846,0.0150499169433,,,,,,,,,,-1.67,0.22,-1.81,0.38
126.0,1.0,0.341891,13.6421439324,0.0109087121146,13.4673031346,0.0168102151483,13.3702307,0.0157162336455,,,,,,,,,,-1.31,0.13,,
127.0,1.0,0.305274,,,,,13.5787426869,0.0175047612571,,,13.5733022603,0.0625279937308,,,,,,-1.59,0.08,,
128.0,0.0,0.834988,13.2065586253,0.0177834192438,12.9265753522,0.0315885000171,12.8100505444,0.0196341539161,,,12.4452145563,0.0737659587253,,,,,,-1.88,0.04,,
130.0,0.0,0.49325,13.6875834895,0.0207364413533,13.5269115289,0.0321221626503,13.4184295401,0.0248109518829,,,,,,,,,,-1.46,0.17,,
131.0,,,,,,,,,,,,,,,,,,-1.56,0.2,-1.66,0.48
132.0,,,,,,,,,,,,,,,,,,-1.91,0.2,,
134.0,,,,,,,,,,,,,,,,,,-1.8,0.41,,
135.0,,,,,,,,,,,,,,,,,,-2.2,0.0,-1.57,0.18
136.0,,,,,,,,,,,,,,,,,,-1.83,0.47,-1.64,0.37
137.0,,,,,,,,,,,,,,,,,,-1.19,0.18,,
139.0,,,,,,,,,,,,,,,,,,-1.46,0.04,-1.83,0.2
140.0,,,,,,,,,,,,,,,,,,,,-1.72,0.15
141.0,,,,,,,,,,,,,,,,,,-1.55,0.36,-2.2,0.36
142.0,,,,,,,,,,,,,,,,,,,,-1.81,0.24
143.0,,,,,,,,,,,,,,,,,,-1.87,0.14,,
144.0,,,,,,,,,,,,,,,,,,-1.71,0.12,,
145.0,,,,,,,,,,,,,,,,,,-1.58,0.07,,
147.0,1.0,0.422699,13.3972846713,0.0124432043033,12.9336079872,0.0409074157906,13.0825668008,0.0224220873248,,,12.5853036472,0.0962345225651,,,,,,-1.66,0.14,,
149.0,0.0,0.682728,13.3536327777,0.015212385305,13.0606067058,0.0345687720349,13.0240325151,0.0240554914036,,,,,,,,,,-1.21,0.24,,
150.0,0.0,0.899302,13.0677963128,0.0193239919961,12.7565588222,0.0248042335096,12.6919327627,0.0179606050381,,,,,,,,,,-1.76,0.34,,
151.0,0.0,0.407784,13.5006609815,0.0132884661769,13.3013157489,0.0204552356786,13.2649892605,0.0162429471874,,,,,,,,,,-1.3,0.24,,
153.0,,,,,,,,,,,,,,,,,,-1.38,0.19,,
154.0,,,,,,,,,,,,,,,,,,-1.39,0.12,-1.49,0.23
155.0,,,,,,,,,,,,,,,,,,-1.46,0.09,,
156.0,,,,,,,,,,,,,,,,,,-1.4,0.04,-1.51,0.38
157.0,,,,,,,,,,,,,,,,,,-1.49,0.1,,
158.0,,,,,,,,,,,,,,,,,,-1.25,0.06,-1.64,0.49
160.0,,,,,,,,,,,,,,,,,,-1.66,0.0,,
163.0,1.0,0.313229,13.7631144892,0.0185337529929,13.5570855314,0.0158561239484,13.5447665605,0.0249949994999,,,,,,,,,,-1.18,0.27,,
168.0,1.0,0.321299,14.1759011515,0.0149499163877,13.9995826797,0.020182500671,13.9602788687,0.0178629038326,,,,,,,,,,,,,
169.0,1.0,0.319116,13.8051136267,0.0127801930085,13.7354989363,0.0194229245996,13.6523095462,0.0251810113644,13.7344054587,0.0497903939865,14.0014406532,0.11563123857,-0.0353431611893,-0.125902417036,-0.101431650456,-0.231739178596,-0.512397071173,,,-1.65,0.19
184.0,1.0,0.30337,13.7784952112,0.0119408263254,13.6236462435,0.0275680975042,13.5364943705,0.0194507926145,,,,,,,,,,,,,
185.0,1.0,0.3332,13.700592386,0.0163222751682,13.545200373,0.0179048410586,13.5082685015,0.0226770809409,13.4957139019,0.0364531663005,13.478710278,0.0330756708171,0.0230185468269,0.0138288564972,-0.00833302378461,-0.0429021678645,-0.0455420506515,,,,
