id,mag_j,merr_j,type,per,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,mag_v,merr_v,mag_b,merr_b
22.0,13.5718266883,0.0120761472885,1.0,0.3960550000000001,13.3798740897,0.0163018403869,13.2882583721,0.0168522995464,,,,,14.559403423637862,0.003947199193274853,14.938554973597235,0.003356585566713095
23.0,13.9414510281,0.0247907913011,0.0,0.5108699999999999,13.7939049746,0.047674241822300005,13.6577764544,0.0334203032103,13.3253135875,0.0638278935889,,,14.842554074919967,0.004580279700175232,15.379440957398344,0.004725815626252608
24.0,13.419189808299999,0.0121997267729,1.0,0.462278,13.217870498499998,0.013552367566799998,13.138048695999998,0.0139253964635,,,,,14.491818196145223,0.0037124374447015155,14.883169970402134,0.00317137062215009
25.0,,,0.0,0.588364,,,,,,,,,14.472612012746795,0.004203240725633389,14.85646855817957,0.003472637402078684
26.0,,,0.0,0.78472,,,,,,,,,14.487968643323585,0.004002121678396685,15.075996891071988,0.0035330606395188686
27.0,,,0.0,0.61568,,,,,,,,,14.76939893162902,0.00473777579931955,15.268998156735528,0.003948810383935377
30.0,13.5209278027,0.0212642109345,1.0,0.40441,13.2866747729,0.0456115847857,13.2511787804,0.029605742686200007,13.188111096099998,0.046710098836699986,13.07069113,0.060255013622699985,14.496029954016228,0.003999999999999999,14.846737350780945,0.003169046724625111
32.0,13.5078880678,0.00897682200633,0.0,0.620373,13.2435126279,0.018448125469400004,13.1324912178,0.0179953697748,,,,,14.493326330529307,0.004083673455222502,14.873227932127266,0.0036912057650583504
33.0,13.3376045677,0.0146941031256,0.0,0.602324,13.105552986300001,0.021548395145200003,13.0908960272,0.0193476958146,,,13.0057594775,0.0348616312489,14.561333140531563,0.004363166859323762,14.939953165244104,0.0035683156688175394
34.0,13.2727197652,0.0136198384719,0.0,0.733967,13.0175727705,0.0140653237906,12.916025415899998,0.0127964838921,,,12.8377706226,0.0645316459835,14.483510888013356,0.003960744879438715,14.940192302860673,0.0036523613717352214
35.0,13.5860963861,0.011525334413100002,1.0,0.386841,13.462796212799999,0.0235778851186,13.355536076199998,0.0229691822522,,,,,14.57333594962289,0.0038404832111032386,14.900250356377251,0.0033800489911827757
36.0,13.5335222986,0.00721110255093,1.0,0.379846,13.372351867799999,0.019032866310700003,13.3065211549,0.0144481832768,,,,,,,,
38.0,13.2261938819,0.014919226968399996,0.0,0.779061,12.9429749871,0.0194507926145,12.814244538699999,0.0180531622345,,,,,14.50185520261142,0.0035644205467060368,15.043078933329785,0.003555220655406559
39.0,13.5602222047,0.00893028554975,1.0,0.393374,13.4145678078,0.014136241839100004,13.3083093897,0.0136900206964,,,,,14.563787547894083,0.004006457372826038,14.930754880347639,0.003454365714142994
40.0,13.517320570999999,0.0220775149568,0.0,0.6340720000000001,13.2502077968,0.0510220540551,13.153101426600001,0.0331272797958,13.0618275118,0.049227363664300014,13.416159423800002,0.0560357029045,14.504988148521784,0.004324573971534464,14.96007253423127,0.003461154697024491
41.0,,,0.0,0.662942,,,,,,,,,14.586776890086012,0.004259601489781882,15.090971112291294,0.0038008957510879326
44.0,13.6773822223,0.0137173855624,0.0,0.567545,13.424643966400001,0.0229328730574,13.3678497551,0.0184232642783,,,13.1323631527,0.0364337297935,14.728328155402073,0.004628835365239076,15.211963806918405,0.0038679827200468002
