id,ra,dec,per_old,per_new,stuff,stuff2,stuff3,stuff4
157,132646.48,-472717.7,0.4064,0.405979,V,50971.6121,V,50975.5531
158,132645.33,-473040.4,0.3673,0.367293,,,,
159,132324.44,-474333.1,0.3431,,,,,
160,132536.09,-471232.3,0.3973,0.397263,,,,
163,132549.49,-472021.7,0.3132,0.313231,,,,
165,132639.40,-472655.8,0.5008,0.500745,,,,
166,132645.99,-472615.4,0.3402,0.340208,,,,
168,132552.75,-473203.2,0.3213,0.321297,,,,
169,132720.46,-472359.5,0.3191,0.319113,,,R,51270.0415
171,132258.93,-464724.8,,,,,,
172,132755.14,-470438.7,0.73805,0.737928,V,54273.4654,V,53830.6679
173,132943.24,-471654.1,0.35899,,,,,
175,132310.35,-481904.4,0.31613,,,,,
177,132904.27,-473621.5,0.3147,0.314737,,,,
178,133150.27,-471822.4,,,,,,
179,132345.51,-481752.9,,,,,,
181,133000.45,-474845.6,0.5884,,,,,
182,133213.42,-470618.6,0.5454,,,,,
183,132939.55,-473018.9,0.2961,,,,,
184,132728.50,-473135.9,0.3034,0.303372,,,,
185,132604.09,-472146.9,0.3330,0.333112,,,,
261,132715.42,-472129.9,0.4025,0.402524,,,,
263,132613.14,-472610.2,1.0122,1.012155,,,,
264,132639.66,-473028.5,0.3214,0.321393,R,51270.0231,R,51269.9432
265,132630.22,-472845.6,0.4226,0.421831,,,,
266,132639.63,-472802.0,0.3523,0.352314,,,,
267,132640.20,-472636.0,0.3158,0.315827,R,51269.7863,R,51270.0413
268,132635.13,-472611.2,0.8129,0.812933,V,51319.4966,V,51305.5583
270,132656.55,-473006.0,0.3127,0.313060,V,50983.5909,V,51276.8595
271,132647.12,-473004.2,0.4432,0.443130,,,,
272,132642.92,-472556.7,0.3115,0.311478,B,50984.5116,B,50985.6849
273,132654.35,-472708.9,0.3671,0.367132,,,,
274,132643.74,-472248.3,0.3111,0.311087,R,51269.9023,R,51269.8313
275,132649.74,-472737.4,0.3776,0.377768,,,,
276,132716.49,-473317.9,0.3078,0.307803,,,,
277,132659.97,-472729.5,0.3516,0.351518,,,,
280,132709.35,-472306.1,0.2816,0.281663,R,51269.9402,R,51269.8730
281,132706.29,-474723.1,0.2850,0.285029,,,,
283,132736.43,-474640.0,0.5173,0.517349,V,49160.6603,V,49871.4634
285,132540.12,-473448.5,0.3290,0.329015,,,,
288,132810.40,-472347.4,0.2954,0.295567,,,,
289,132803.56,-472127.8,0.3081,0.308092,V,51335.6008,V,49886.5767
291,132638.53,-473328.3,0.3340,0.333987,,,,
339,132629.68,-472952.3,0.3013,0.301324,,,R,51269.8675
340,132638.93,-472732.8,0.3018,0.301821,,,,
341,132654.65,-472848.3,0.3061,0.306145,,,R,51269.7419
342,132718.68,-472823.4,0.3084,0.308386,,,,
343,132647.81,-472937.5,0.3102,0.310214,,,,
344,132638.05,-472444.9,0.3138,0.313767,,,,
346,132646.93,-472814.3,0.3276,0.327626,,,R,51269.7469
347,132650.84,-472746.1,0.3288,0.328912,,,R,51269.6745
349,132651.81,-472744.2,0.3642,0.364193,,,,
350,132656.39,-473050.5,0.3791,0.379109,V,51276.7921,V,51276.6883
351,132642.64,-472735.7,0.3856,0.385149,,,,
352,132654.39,-472912.0,0.3975,0.397561,,,,
353,132643.80,-472756.7,0.4010,0.401849,I,49868.6942,I,49863.7793
354,132638.60,-472510.2,0.4199,0.419413,,,R,51269.7085
357,132617.78,-473024.0,0.2978,0.297778,,,V,51306.6406
366,132641.57,-473142.3,0.9999,0.999924,,,,
399,132629.54,-473003.0,0.3098,0.309808,V,52743.6880,V,51276.6715
411,132640.77,-472817.0,0.8449,0.844273,,,,
