id,type,per,mag_j,merr_j,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,resid_all_j,resid_all_h,resid_all_k,resid_all_3,resid_all_4,photfeh,photfeh_err,spectfeh,spectfeh_err
45.0,0.0,0.589116,13.5130521212,0.0146855938479,13.201139958,0.0151162164578,13.1642114773,0.0142302494708,,,13.0703531809,0.027711309364,-0.0199958853481,-0.0711831532534,-0.0587990679747,,-0.0478740283587,-1.78,0.25,,
46.0,0.0,0.686971,13.2988976665,0.0162788205961,12.9979962655,0.0165353157414,12.9472576441,0.0142331772045,,,,,-0.0637492935864,-0.112881975843,-0.0905626375125,,,-1.88,0.17,,
47.0,1.0,0.485303,13.4203137861,0.0196490033674,13.2231880194,0.0178535710714,13.1499007725,0.0177364972115,13.0991952686,0.0303411162177,13.0729043499,0.0262916336503,0.0501803822674,0.07235009495,0.0605845115951,0.0936999264159,0.113711513665,-1.58,0.31,,
49.0,0.0,0.604627,13.5656257734,0.0115650335062,13.2377907167,0.0193433881899,13.2203222396,0.0161038297722,,,13.0990971458,0.0492527495002,0.0613961409025,-0.00722869691642,0.028631233727,,0.0133539277559,-1.98,0.11,,
50.0,1.0,0.386172,13.6472752039,0.0143265487819,13.401554175,0.0150554530542,13.3618544733,0.0142828568571,,,13.305145439,0.0555877684387,0.0686187455328,0.00683393410988,0.0272890289572,,0.0595662887897,-1.59,0.19,,
51.0,0.0,0.574152,13.5966489219,0.0144366431925,13.3778394408,0.0326879182574,13.2697366339,0.0285511237374,13.3153167274,0.0827259532029,,,0.0350705097244,0.0784854648855,0.0157195106127,0.174292583857,,-1.64,0.21,-1.84,0.23
52.0,,,,,,,,,,,,,,,,,,-1.42,0.04,,
54.0,0.0,0.772915,13.280748341,0.016010413278,12.9983880125,0.0166458202962,12.9536519737,0.0150083310198,12.7991322925,0.0298858941085,,,0.0488132904842,0.0113515413482,0.0578881729591,-0.0600783249321,,-1.66,0.12,-1.8,0.23
55.0,,,,,,,,,,,,,,,,,,-1.23,0.31,,
56.0,0.0,0.568023,13.6426823439,0.009456038635,13.3857745313,0.0216410104508,13.3526088336,0.0171973835219,,,13.2315651451,0.0346193587462,0.0692031028326,0.0751452269051,0.0856580007726,,0.06776396055,-1.26,0.15,,
57.0,0.0,0.794402,13.2344369336,0.014829587542,12.9953153621,0.0181796589627,12.8819073406,0.0143643076176,,,,,0.0329080882312,0.0370869642337,0.0191887192465,,,-1.89,0.14,,
58.0,1.0,0.36988,13.6604364549,0.0172626765016,13.4947796803,0.0179118210502,13.4210202331,0.0205953069088,13.3451820411,0.0334003492996,13.3090043162,0.0337712895815,0.0424425868668,0.0540515837629,0.0401890766963,0.0145681752224,0.00939902590305,-1.37,0.18,-1.91,0.31
59.0,0.0,0.518506,13.7268656582,0.022803508502,13.4239047093,0.042959283048,13.3908825282,0.0331071492783,13.2482454608,0.0713348909487,13.41836269,0.0639986979034,0.052244771851,0.0174497036902,0.0140119011821,0.010580820428,0.140554923712,-1.0,0.28,,
62.0,,,,,,,,,,,,,,,,,,-1.62,0.29,,
63.0,0.0,0.825943,13.2229784978,0.0174451521442,12.8617606916,0.0170146995272,12.8687717763,0.0119721899974,,,,,0.064625303786,-0.0555613411882,0.0529760490496,,,-1.73,0.09,,
64.0,1.0,0.344497,13.6377369681,0.0131085214015,13.4384272814,0.0219412093255,13.4072323054,0.0215793110795,,,13.3139236931,0.0437435709562,-0.0451373927996,-0.0781830955274,-0.0499064225192,,-0.0747886997298,-1.46,0.23,,
66.0,1.0,0.407266,13.5423348698,0.0105039675044,13.3587158643,0.0217389818836,13.2640710285,0.0197061750051,13.1034734659,0.034963075761,,,0.0122144228591,0.0207618880507,-0.0134099980253,-0.111876850264,,-1.68,0.34,,
67.0,0.0,0.564451,13.6097891845,0.0143961800489,13.3835923378,0.0155349069303,13.3263738841,0.0154515371404,13.3684682236,0.0468908306602,,,0.0293147339985,0.0663354879732,0.0518207230805,0.21128977571,,-1.1,0.0,-1.19,0.23
68.0,1.0,0.534609,13.2581938832,0.0207866142826,13.0035557541,0.015305227865,12.9695183147,0.0145602197786,12.9281435342,0.0502750766616,,,-0.0236332530351,-0.0440018057594,-0.0159387347182,0.038479506408,,-1.6,0.01,,
69.0,0.0,0.635221,,,,,13.112267638,0.013625955624,,,,,,,-0.0199369320335,,,-1.52,0.14,,
70.0,1.0,0.390687,13.5290220791,0.0130926187857,13.2820996441,0.0294207976325,13.2542904957,0.0222860195339,,,,,-0.0390263128107,-0.100213720121,-0.0677985361803,,,-1.94,0.15,-1.74,0.3
71.0,,,,,,,,,,,,,,,,,,,,-1.74,0.28
72.0,1.0,0.384522,13.5540452926,0.00977667291737,13.3386036634,0.0166883192683,13.3114983141,0.0144048602909,,,,,-0.0285188406061,-0.0606868768929,-0.0276630444237,,,-1.32,0.22,,
73.0,0.0,0.575215,13.479601013,0.0175902435079,13.2508182875,0.0174116819023,13.2149929114,0.0155938021876,,,,,-0.0799262807509,-0.0465923755409,-0.0367950755658,,,-1.5,0.09,,
74.0,0.0,0.503209,13.6224893532,0.00759934207679,13.4566366903,0.0156923548265,13.4048196111,0.0151134597848,,,,,-0.0853381798658,0.0187203593599,-0.00813968901306,,,-1.83,0.36,,
